voxel_col,x,y,z
1058,40,22,6
1059,41,22,6
1060,42,22,6
1061,43,22,6
1062,44,22,6
1063,15,23,6
1064,16,23,6
1065,17,23,6
1066,18,23,6
1067,19,23,6
1068,20,23,6
1069,21,23,6
1070,22,23,6
1071,23,23,6
1072,24,23,6
1073,25,23,6
1074,26,23,6
1075,27,23,6
1076,28,23,6
1077,29,23,6
1078,30,23,6
1079,31,23,6
1080,32,23,6
1081,33,23,6
1082,34,23,6
1083,35,23,6
1084,36,23,6
1085,37,23,6
1086,38,23,6
1087,41,23,6
1088,42,23,6
1089,43,23,6
1090,15,24,6
1091,16,24,6
1092,17,24,6
1093,18,24,6
1094,19,24,6
1095,20,24,6
1096,21,24,6
1097,22,24,6
1098,23,24,6
1099,24,24,6
1100,25,24,6
1101,26,24,6
1102,27,24,6
1103,28,24,6
1104,29,24,6
1105,30,24,6
1106,31,24,6
1107,32,24,6
1108,33,24,6
1109,34,24,6
1110,35,24,6
1111,36,24,6
1112,37,24,6
1113,41,24,6
1114,42,24,6
1115,43,24,6
1116,9,25,6
1117,16,25,6
1118,17,25,6
1119,18,25,6
1120,19,25,6
1121,20,25,6
1122,21,25,6
1123,22,25,6
1124,28,25,6
1125,29,25,6
1126,30,25,6
1127,31,25,6
1128,32,25,6
1129,33,25,6
1130,34,25,6
1131,35,25,6
1132,36,25,6
1133,14,26,6
1134,15,26,6
1135,16,26,6
1136,17,26,6
1137,18,26,6
1138,19,26,6
1139,20,26,6
1140,21,26,6
1141,22,26,6
1142,29,26,6
1143,30,26,6
1144,31,26,6
1145,32,26,6
1146,33,26,6
1147,34,26,6
1148,35,26,6
1149,36,26,6
1150,37,26,6
1151,38,26,6
1152,8,27,6
1153,9,27,6
1154,14,27,6
1155,15,27,6
1156,16,27,6
1157,19,27,6
1158,20,27,6
1159,31,27,6
1160,34,27,6
1161,35,27,6
1162,36,27,6
1163,37,27,6
1164,38,27,6
1165,7,28,6
1166,8,28,6
1167,9,28,6
1168,10,28,6
1169,13,28,6
1170,14,28,6
1171,15,28,6
1172,16,28,6
1173,17,28,6
1174,18,28,6
1175,19,28,6
1176,32,28,6
1177,33,28,6
1178,34,28,6
1179,35,28,6
1180,36,28,6
1181,37,28,6
1182,38,28,6
1183,43,28,6
1184,44,28,6
1185,5,29,6
1186,6,29,6
1187,7,29,6
1188,8,29,6
1189,9,29,6
1190,10,29,6
1191,14,29,6
1192,15,29,6
1193,17,29,6
1194,33,29,6
1195,34,29,6
1196,35,29,6
1197,36,29,6
1198,37,29,6
1199,41,29,6
1200,43,29,6
1201,44,29,6
1202,45,29,6
1203,5,30,6
1204,6,30,6
